"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_535591","Switzerland/GR-ETHZ-250065/2020","2020-08-18",2020-08-18,"Europe","Switzerland","Graubünden","Switzerland","20A","B.1.221","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.221","EPI_ISL_535591|2020-08-18",FALSE,FALSE,TRUE
"EPI_ISL_535606","Switzerland/BL-ETHZ-250087/2020","2020-08-19",2020-08-19,"Europe","Switzerland","Basel-Land","Switzerland","20A","B.1.221","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.221","EPI_ISL_535606|2020-08-19",FALSE,FALSE,TRUE
"EPI_ISL_577943","Netherlands/ZH-EMC-514/2020","2020-08-26",2020-08-26,"Europe","Netherlands","South Holland","Netherlands","20A","B.1.221","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.221","EPI_ISL_577943|2020-08-26",TRUE,FALSE,FALSE
"EPI_ISL_578014","Netherlands/ZH-EMC-586/2020","2020-09-18",2020-09-18,"Europe","Netherlands","South Holland","Netherlands","20A","B.1.221","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.221","EPI_ISL_578014|2020-09-18",FALSE,TRUE,FALSE
"EPI_ISL_581603","Belgium/ULG-10421/2020","2020-08-14",2020-08-14,"Europe","Belgium","Liège","Belgium","20A","B.1.221","Department of Clinical Microbiology","GIGA Medical Genomics","Keith Durkin et al","B.1.221","EPI_ISL_581603|2020-08-14",TRUE,FALSE,FALSE
"EPI_ISL_603275","Switzerland/ZH-ETHZ-300242/2020","2020-10-01",2020-10-01,"Europe","Switzerland","Zürich","Switzerland","20A","B.1.221","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.221","EPI_ISL_603275|2020-10-01",FALSE,FALSE,TRUE
"EPI_ISL_603292","Switzerland/ZH-ETHZ-300260/2020","2020-10-01",2020-10-01,"Europe","Switzerland","Zürich","Switzerland","20A","B.1.221","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.221","EPI_ISL_603292|2020-10-01",FALSE,FALSE,TRUE
"EPI_ISL_621721","Denmark/DCGC-5183/2020","2020-09-21",2020-09-21,"Europe","Denmark","Nordjylland","Denmark","20A","B.1.221","Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark","Danish Covid-19 Genome Consortia et al","B.1.221","EPI_ISL_621721|2020-09-21",FALSE,TRUE,FALSE
