"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_1015148","France/IDF_PSL_526/2020","2020-09-04",2020-09-04,"Europe","France","Ile de France","France","20E (EU1)","B.1.177","Department of Virology, Pitié-Salpêtrière hospital","Department of Virology, Pitié-Salpêtrière hospital","Valentin Leducq et al","B.1.177","EPI_ISL_1015148|2020-09-04",TRUE,FALSE,FALSE
"EPI_ISL_1108887","Netherlands/un-RUMC-000146/2020","2020-09",2020-09-01,"Europe","Netherlands","Netherlands","Netherlands","20E (EU1)","B.1.177","Radboudumc","Radboudumc","Jordy Coolen et al","B.1.177","EPI_ISL_1108887|2020-09",FALSE,TRUE,FALSE
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_523869","Switzerland/BL-ETHZ-240018/2020","2020-08-10",2020-08-10,"Europe","Switzerland","Basel-Land","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_523869|2020-08-10",FALSE,FALSE,TRUE
"EPI_ISL_523883","Switzerland/BL-ETHZ-240041/2020","2020-08-11",2020-08-11,"Europe","Switzerland","Basel-Land","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_523883|2020-08-11",FALSE,FALSE,TRUE
"EPI_ISL_535229","Wales/PHWC-16A2D0/2020","2020-09-06",2020-09-06,"Europe","United Kingdom","Wales","United Kingdom","20E (EU1)","B.1.177","Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit","COVID-19 Genomics UK (COG-UK) Consortium","Catherine Moore et al","B.1.177","EPI_ISL_535229|2020-09-06",FALSE,TRUE,FALSE
"EPI_ISL_535625","Switzerland/BE-ETHZ-250116/2020","2020-08-20",2020-08-20,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_535625|2020-08-20",FALSE,FALSE,TRUE
"EPI_ISL_539359","Switzerland/BE-ETHZ-260025/2020","2020-08-22",2020-08-22,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539359|2020-08-22",FALSE,FALSE,TRUE
"EPI_ISL_539367","Switzerland/GR-ETHZ-260035/2020","2020-08-22",2020-08-22,"Europe","Switzerland","Graubünden","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539367|2020-08-22",FALSE,FALSE,TRUE
