"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_516558","Switzerland/VD-ETHZ-230015/2020","2020-08-02",2020-08-02,"Europe","Switzerland","Vaud","Switzerland","20C","B.1.367","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.367","EPI_ISL_516558|2020-08-02",FALSE,FALSE,TRUE
"EPI_ISL_539371","Switzerland/GR-ETHZ-260041/2020","2020-08-23",2020-08-23,"Europe","Switzerland","Graubünden","Switzerland","20C","B.1.367","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.367","EPI_ISL_539371|2020-08-23",FALSE,FALSE,TRUE
"EPI_ISL_541410","Switzerland/AG-ETHZ-270120/2020","2020-09-03",2020-09-03,"Europe","Switzerland","Aargau","Switzerland","20C","B.1.367","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.367","EPI_ISL_541410|2020-09-03",FALSE,FALSE,TRUE
"EPI_ISL_560454","Switzerland/BE-ETHZ-280249/2020","2020-09-10",2020-09-10,"Europe","Switzerland","Bern","Switzerland","20C","B.1.367","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.367","EPI_ISL_560454|2020-09-10",FALSE,FALSE,TRUE
"EPI_ISL_577932","Netherlands/ZH-EMC-503/2020","2020-08-25",2020-08-25,"Europe","Netherlands","South Holland","Netherlands","20C","B.1.367","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.367","EPI_ISL_577932|2020-08-25",TRUE,FALSE,FALSE
"EPI_ISL_644476","France/PAC-MEPHI-2019/2020","2020-08-28",2020-08-28,"Europe","France","Provence-Alpes-Côte d'Azur","France","20C","B.1.367","MEPHI, Aix Marseille University","MEPHI, Aix Marseille University","Anthony LEVASSEUR et al","B.1.367","EPI_ISL_644476|2020-08-28",TRUE,FALSE,FALSE
"EPI_ISL_692736","France/ARA-61889/2020","2020-08-18",2020-08-18,"Europe","France","Auvergne-Rhône-Alpes","France","20C","B.1.367","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD","Antonin Bal et al","B.1.367","EPI_ISL_692736|2020-08-18",TRUE,FALSE,FALSE
"EPI_ISL_729588","Germany/SH-ChVir8587/2020","2020-08-12",2020-08-12,"Europe","Germany","Schleswig-Holstein","Germany","20C","B.1.367","A. Krumbholz, Labor Dr. Krause und Kollegen MVZ GmbH, Kiel","Charité Universitätsmedizin Berlin, Institut für Virologie","Victor M Corman et al","B.1.367","EPI_ISL_729588|2020-08-12",TRUE,FALSE,FALSE
"EPI_ISL_855565","Tunisia/23-MHT_22/2020","2020-09-15",2020-09-15,"Africa","Tunisia","Bizerte","Tunisia","20C","B.1.367","Department of Virology, Principal Military Hospital of Instruction of Tunis","Bundeswehr Institute of Microbiology","Susann Handrick et al","B.1.367","EPI_ISL_855565|2020-09-15",FALSE,TRUE,FALSE
"EPI_ISL_900065","France/PAC-IHUCOVID-1462/2020","2020-08-11",2020-08-11,"Europe","France","Provence-Alpes-Côte d'Azur","France","20C","B.1.367","MEPHI, Aix Marseille University","MEPHI, Aix Marseille University","Anthony LEVASSEUR et al","B.1.367","EPI_ISL_900065|2020-08-11",FALSE,TRUE,FALSE
"EPI_ISL_900104","France/PAC-IHUCOVID-1338/2020","2020-08-19",2020-08-19,"Europe","France","Provence-Alpes-Côte d'Azur","France","20C","B.1.367","MEPHI, Aix Marseille University","MEPHI, Aix Marseille University","Anthony LEVASSEUR et al","B.1.367","EPI_ISL_900104|2020-08-19",TRUE,FALSE,FALSE
"EPI_ISL_900158","France/PAC-IHUCOVID-1181/2020","2020-08-16",2020-08-16,"Europe","France","Provence-Alpes-Côte d'Azur","France","20C","B.1.367","MEPHI, Aix Marseille University","MEPHI, Aix Marseille University","Anthony LEVASSEUR et al","B.1.367","EPI_ISL_900158|2020-08-16",TRUE,FALSE,FALSE
