"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_516572","Switzerland/ZH-ETHZ-230031/2020","2020-08-04",2020-08-04,"Europe","Switzerland","Zürich","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_516572|2020-08-04",FALSE,FALSE,TRUE
"EPI_ISL_516594","Switzerland/ZH-ETHZ-230058/2020","2020-08-05",2020-08-05,"Europe","Switzerland","Zürich","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_516594|2020-08-05",FALSE,FALSE,TRUE
"EPI_ISL_516595","Switzerland/ZH-ETHZ-230059/2020","2020-08-05",2020-08-05,"Europe","Switzerland","Zürich","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_516595|2020-08-05",FALSE,FALSE,TRUE
"EPI_ISL_523891","Switzerland/BL-ETHZ-240050/2020","2020-08-12",2020-08-12,"Europe","Switzerland","Basel-Land","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_523891|2020-08-12",FALSE,FALSE,TRUE
"EPI_ISL_531788","Scotland/QEUH-961FE9/2020","2020-08-10",2020-08-10,"Europe","United Kingdom","Scotland","United Kingdom","20B","B.1.1.39","NHSGGC West of Scotland Specialist Virology Centre / MRC-University of Glasgow Centre for Virus Research","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Ana da Silva Filipe et al","B.1.1.39","EPI_ISL_531788|2020-08-10",FALSE,TRUE,FALSE
"EPI_ISL_535628","Switzerland/BE-ETHZ-250120/2020","2020-08-14",2020-08-14,"Europe","Switzerland","Bern","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_535628|2020-08-14",FALSE,FALSE,TRUE
"EPI_ISL_539429","Switzerland/ZH-ETHZ-260122/2020","2020-08-26",2020-08-26,"Europe","Switzerland","Zürich","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_539429|2020-08-26",FALSE,FALSE,TRUE
"EPI_ISL_590593","England/QEUH-9B76B2/2020","2020-09-08",2020-09-08,"Europe","United Kingdom","England","United Kingdom","20B","B.1.1.39","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.1.39","EPI_ISL_590593|2020-09-08",FALSE,TRUE,FALSE
