"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_1015029","France/IDF_PSL_544/2020","2020-09-28",2020-09-28,"Europe","France","Ile de France","France","20A.EU2","B.1.160","Department of Virology, Pitié-Salpêtrière hospital","Department of Virology, Pitié-Salpêtrière hospital","Valentin Leducq et al","B.1.160","EPI_ISL_1015029|2020-09-28",TRUE,FALSE,FALSE
"EPI_ISL_1015162","France/IDF_PSL_417/2020","2020-09-21",2020-09-21,"Europe","France","Ile de France","France","20A.EU2","B.1.160","Department of Virology, Pitié-Salpêtrière hospital","Department of Virology, Pitié-Salpêtrière hospital","Valentin Leducq et al","B.1.160","EPI_ISL_1015162|2020-09-21",TRUE,FALSE,FALSE
"EPI_ISL_1020297","Austria/MUW_1337238/2020","2020-09-18",2020-09-18,"Europe","Austria","Austria","Austria","20A.EU2","B.1.160","Center for Virology","Center for Virology","Jeremy V. Camp et al","B.1.160","EPI_ISL_1020297|2020-09-18",TRUE,FALSE,FALSE
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_539348","Switzerland/ZH-ETHZ-260011/2020","2020-08-21",2020-08-21,"Europe","Switzerland","Zürich","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_539348|2020-08-21",FALSE,FALSE,TRUE
"EPI_ISL_539361","Switzerland/ZH-ETHZ-260027/2020","2020-08-22",2020-08-22,"Europe","Switzerland","Zürich","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_539361|2020-08-22",FALSE,FALSE,TRUE
"EPI_ISL_539436","Switzerland/AG-ETHZ-260131/2020","2020-08-25",2020-08-25,"Europe","Switzerland","Aargau","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_539436|2020-08-25",FALSE,FALSE,TRUE
"EPI_ISL_539441","Switzerland/VD-ETHZ-260145/2020","2020-08-25",2020-08-25,"Europe","Switzerland","Vaud","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_539441|2020-08-25",FALSE,FALSE,TRUE
"EPI_ISL_539442","Switzerland/BE-ETHZ-260146/2020","2020-08-25",2020-08-25,"Europe","Switzerland","Bern","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_539442|2020-08-25",FALSE,FALSE,TRUE
"EPI_ISL_541433","Switzerland/BE-ETHZ-270126/2020","2020-09-03",2020-09-03,"Europe","Switzerland","Bern","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_541433|2020-09-03",FALSE,FALSE,TRUE
"EPI_ISL_541443","Switzerland/BE-ETHZ-270194/2020","2020-08-31",2020-08-31,"Europe","Switzerland","Bern","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_541443|2020-08-31",FALSE,FALSE,TRUE
"EPI_ISL_541444","Switzerland/BE-ETHZ-270203/2020","2020-08-31",2020-08-31,"Europe","Switzerland","Bern","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_541444|2020-08-31",FALSE,FALSE,TRUE
"EPI_ISL_541464","Switzerland/GE-ETHZ-270137/2020","2020-08-28",2020-08-28,"Europe","Switzerland","Geneva","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_541464|2020-08-28",FALSE,FALSE,TRUE
"EPI_ISL_541477","Switzerland/VD-ETHZ-270075/2020","2020-09-03",2020-09-03,"Europe","Switzerland","Vaud","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_541477|2020-09-03",FALSE,FALSE,TRUE
"EPI_ISL_541483","Switzerland/VD-ETHZ-270097/2020","2020-09-03",2020-09-03,"Europe","Switzerland","Vaud","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_541483|2020-09-03",FALSE,FALSE,TRUE
"EPI_ISL_541484","Switzerland/VD-ETHZ-270098/2020","2020-09-03",2020-09-03,"Europe","Switzerland","Vaud","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_541484|2020-09-03",FALSE,FALSE,TRUE
"EPI_ISL_541487","Switzerland/VD-ETHZ-270113/2020","2020-09-03",2020-09-03,"Europe","Switzerland","Vaud","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_541487|2020-09-03",FALSE,FALSE,TRUE
"EPI_ISL_560436","Switzerland/BE-ETHZ-280132/2020","2020-09-07",2020-09-07,"Europe","Switzerland","Bern","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_560436|2020-09-07",FALSE,FALSE,TRUE
"EPI_ISL_560437","Switzerland/BE-ETHZ-280139/2020","2020-09-08",2020-09-08,"Europe","Switzerland","Bern","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_560437|2020-09-08",FALSE,FALSE,TRUE
"EPI_ISL_560442","Switzerland/BE-ETHZ-280185/2020","2020-09-09",2020-09-09,"Europe","Switzerland","Bern","Switzerland","20A.EU2","B.1.160","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.160","EPI_ISL_560442|2020-09-09",FALSE,FALSE,TRUE
