"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_1015284","France/IDF_PSL_274/2020","2020-08-17",2020-08-17,"Europe","France","Ile de France","France","20D","B.1.1.1","Department of Virology, Pitié-Salpêtrière hospital","Department of Virology, Pitié-Salpêtrière hospital","Valentin Leducq et al","B.1.1.1","EPI_ISL_1015284|2020-08-17",TRUE,FALSE,FALSE
"EPI_ISL_402125","Wuhan/Hu-1/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)","Zhang et al","B","EPI_ISL_402125|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_406798","Wuhan/WH01/2019","2019-12-26",2019-12-26,"Asia","China","Hubei","China","19A","B","General Hospital of Central Theater Command of People's Liberation Army of China","BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China","Weijun Chen et al","B","EPI_ISL_406798|2019-12-26",FALSE,FALSE,FALSE
"EPI_ISL_541524","Switzerland/ZH-ETHZ-270142/2020","2020-08-28",2020-08-28,"Europe","Switzerland","Zürich","Switzerland","20D","B.1.1.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.1","EPI_ISL_541524|2020-08-28",FALSE,FALSE,TRUE
"EPI_ISL_583892","Austria/CeMM1096/2020","2020-08-03",2020-08-03,"Europe","Austria","Austria","Austria","20D","B.1.1.1","Austrian Agency for Health and Food Safety (AGES)","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences","Alexandra Popa et al","B.1.1.1","EPI_ISL_583892|2020-08-03",TRUE,FALSE,FALSE
"EPI_ISL_603344","Switzerland/AG-ETHZ-300312/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Aargau","Switzerland","20D","B.1.1.1","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.1","EPI_ISL_603344|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603388","Switzerland/VD-ETHZ-300433/2020","2020-09-29",2020-09-29,"Europe","Switzerland","Vaud","Switzerland","20D","C.5","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.1","EPI_ISL_603388|2020-09-29",FALSE,FALSE,TRUE
"EPI_ISL_609989","Italy/LAZ-INMI-81/2020","2020-08-17",2020-08-17,"Europe","Italy","Lazio","Italy","20D","B.1.1.1","INMI Lazzaro Spallanzani IRCCS","INMI Lazzaro Spallanzani IRCCS","C.E.M Gruber et al","B.1.1.1","EPI_ISL_609989|2020-08-17",TRUE,FALSE,FALSE
"EPI_ISL_687832","Japan/PG-6721/2020","2020-08",2020-08-01,"Asia","Japan","Japan","Japan","20B","B.1.1.1","Pathogen Genomics Center, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases","Tsuyoshi Sekizuka et al","B.1.1.1","EPI_ISL_687832|2020-08",FALSE,TRUE,FALSE
"EPI_ISL_746656","Chile/RM-154362/2020","2020-08-18",2020-08-18,"South America","Chile","Region Metropolitana de Santiago","Chile","20D","B.1.1.1","Genetica Molecular and Subdepartamento de Virologia ISP Chile","Instituto de Salud Publica de Chile","Javier Tognarelli et al","B.1.1.1","EPI_ISL_746656|2020-08-18",FALSE,TRUE,FALSE
"EPI_ISL_837255","Italy/CAM-TIGEM-1005/2020","2020-09-15",2020-09-15,"Europe","Italy","Campania","Italy","20D","B.1.1.1","Istituto Zooprofilattico Sperimentale del Mezzogiorno","TIGEM","Antonio Grimaldi et al","B.1.1.1","EPI_ISL_837255|2020-09-15",TRUE,FALSE,FALSE
"EPI_ISL_856694","Italy/CAM-COTUGNO-54438/2020","2020-09-16",2020-09-16,"Europe","Italy","Campania","Italy","20D","B.1.1.1","Lab. Microbiologia e Virologia, Cotugno, A.O. dei Colli","Lab. Microbiologia e Virologia, Cotugno, A.O. dei Colli","Luigi Atripaldi et al","B.1.1.1","EPI_ISL_856694|2020-09-16",TRUE,FALSE,FALSE
